modern_nam;LCD_name;ID;unci;N;E
Aa;Hazae;LCD1;13;6586723;509029
Aarla;Ardala;LCD2;8;6581462;478718
Aaspere;Katkantagus;LCD3;6;6587687;451178
Aasu;Itereuerae;LCD4;6;6586357;461011
Aavere;Hauaueerae;LCD5;8;6584981;401720
Aburi;Apur;LCD6;6;6560688;457696
Aeli;Aeilaes;LCD7;1;6543342;401569
Ahila;Athelic;LCD8;10;6583374;447140
Aidu;Aytis;LCD9;19;6576663;502839
Aigitse;Aekizae;LCD10;7;6550024;361529
Aila;Akiolae;LCD11;5;6575229;356937
Alantsi;Atanascae;LCD12;17;6555834;393651
Alavere;Alauerae;LCD13;12;6569046;404766
Alu;Alafae;LCD14;12;6545018;371697
Aluvere;Alouerae;LCD15;14;6582634;466954
Amma;Hama;LCD16;12;6588334;447489
Andja;Adnaeias;LCD17;6;6591241;469514
Angerja;Angaer;LCD18;25;6561894;377584
Anija;Hanaegus;LCD19;7;6584098;403419
Annikvere;Andikewaerae;LCD20;26;6594565;453866
Arangvere;Harandaeuaerae;LCD21;2;6546073;375829
Ardu;Harco;LCD22;3;6552852;406218
Aresi;Arissilae;LCD23;12;6587848;469565
Argoma;Artinas;LCD24;10;6578645;450592
Arkna;Arkenallae;LCD25;27;6584235;464353
Aruküla;Arhukylae;LCD26;5;6564842;348251
Assaku;Assuncauae;LCD27;4;6584741;377608
Assamalla;Asaemulae;LCD28;18;6566002;457958
Haeimestkilae;Haeimestkilae;LCD29;3;6574571;358093
Atla;Accola/Attola;LCD30;10;6547977;385535
Atsalama;Akimal;LCD31;9;6566949;520484
Hatuküla;Attol;LCD32;8;6566582;325043
Auküla;Haudis;LCD33;25;6585733;453690
Avanduse;Auendoys;LCD34;10;6545378;465185
Avispea;Auespae;LCD35;8;6553197;463772
Edise;Eteus;LCD36;5;6581689;521908
Edivere;Ettiauerae;LCD37;5;6568006;529832
Emumäe;Emomaekae;LCD38;10;6532897;463469
Erra;Heraes;LCD39;28;6581780;499405
Essu;Gesse;LCD40;6;6588419;464256
Hageri;Hakriz;LCD41;6;6560197;365745
Haiba;Howympae;LCD42;7;6557250;355329
Haljala;Halela;LCD43;14;6588527;458549
Haljava;Halenhabus;LCD44;8;6586017;397207
Harku;Harkua;LCD45;5;6585700;362405
Harmi;Hermae;LCD46;25;6554739;397081
Helda;Helmet;LCD47;7;6545397;381250
Tabase;Tapawolkae;LCD48;2;6560940;392402
Hiietse;Egentakaes;LCD49;5;6548253;352128
Hirla;Hyruelae;LCD50;12;6544558;462621
Hirmuse;Hermaes;LCD51;6;6576772;499511
Hirvli;Irmari;LCD52;8;6590522;417251
Hulja;Hullia;LCD53;50;6579932;455469
Humala;Humebo;LCD54;10;6583822;352618
Hõbeda;H?ppaethae;LCD55;12;6584482;446967
Hõreda;H?raetha;LCD56;9;6544521;380758
Härgla;Herkial;LCD57;10;6553372;379723
Härjapea;Hergaenpae;LCD58;3;6587398;489370
Härtu;Haermaeto;LCD59;10;6538876;378023
Hüüru;Hiurenkylae;LCD60;10;6585088;360279
Idavere;Honolius;LCD61;12;6588854;459672
Igavere;Serriuerae;LCD62;5;6578799;390831
Iila;Ydiala;LCD63;25;6595011;480191
Iira;Hirae;LCD64;13;6540913;369715
Inju;Inie;LCD65;9;6570128;463924
Iru;Hirwae;LCD66;7;6594184;381311
Jagumaa;Jacomeckae;LCD67;10;6583669;377129
Jalase;Iales;LCD68;14;6539141;363498
Joaküla;Jukal;LCD69;8;6592074;396853
Juuru;Juriz;LCD70;7;6548763;382740
Jõelähtme;Jeeleth;LCD71;14;6591392;393681
Jõetaguse;Egh?ntakae;LCD72;24;6577246;451605
Jõgisoo;Ekius;LCD73;12;6573429;357949
Jõhvi;Gevi;LCD74;20;6580351;523394
Jägala;Jakawoldal;LCD75;17;6588027;400028
Jälgimäe;Jalkemaetae;LCD76;11;6578306;363646
Järni;Jarwaen;LCD77;10;6572422;458122
Järsi;Jarvius;LCD78;15;6583453;389608
Järtu;Jaruios;LCD79;32;6570895;455230
Järve;Jeruius;LCD80;16;6585341;516968
Torvascula;Torvascula;LCD81;3;6585878;517484
Järveküla (+Heckelal);Jaergaekylae;LCD82;20;6586395;374687
Kaasiku;Casacu;LCD83;10;6556839;377288
Kabala;Cappala;LCD84;23;6579795;481666
Kabala;Capal;LCD85;30;6534865;364815
Kaberla;Gabriel;LCD86;14;6593775;400655
Kadiküla;Katinkylae;LCD87;3;6533751;465511
Kadja;Kathis;LCD88;4;6546229;397541
Kaemla;Keamol;LCD89;3;6583220;393245
Kaersoo;Kaeris;LCD90;8;6583603;399107
Kahala;Kaial;LCD91;21;6593446;416124
Kahula;Kawal;LCD92;18;6577711;519090
Kaidmaa;Kaytamaelae;LCD93;22;6562110;529396
Kaiu;Kaiu;LCD94;11;6543409;388509
Kaivere;Kaipiaverae;LCD95;6;6570059;402895
Kalamäe;Kalameki;LCD96;5;6594068;417538
Kalbu;Calablia;LCD97;5;6530027;377855
Kalesi;Kallis senkau;LCD98;6;6579987;392648
Kalina;Kaltanus;LCD99;10;6569835;519579
Kalliküla;Kaligalae;LCD100;10;6596457;468994
Kallukse;Kallax;LCD101;8;6581003;447072
Kalumatsu;Callumanae;LCD102;5;6570100;325153
Kangla;Kangelae;LCD104;5;6581692;388722
Kantküla;Kandukylae;LCD105;14;6573960;473531
Karila;Kariael;LCD106;20;6560451;477115
Karitse;Kariscae;LCD107;5;6542002;386142
Karjaküla;Carias;LCD108;5;6580817;351469
Karla;Karol;LCD109;14;6560558;392878
Karlaküla;Karowelae;LCD110;4;6582728;382057
Karnaküla;Carvanal;LCD111;6;6583014;357559
Karunga;Karungca;LCD113;5;6569537;457066
Kasu;Kazwold;LCD114;12;6563449;369425
Kasvandu;Kasawand;LCD115;8;6544541;387701
Kata;Katal;LCD116;12;6563476;383048
Katela;Katal;LCD117;18;6591067;466695
Katkutaga;Katkuntakuse;LCD119;8;6582350;472007
Kavastu;Capis cum Unaes et Mellaes;LCD120;27;6593170;451573
Veri;Veri;LCD121;6;6536521;382109
Kehala;Haelae;LCD122;40;6569067;469764
Kehra;Ketherae;LCD123;10;6580500;405238
Keila;Keikael;LCD124;10;6577338;353722
Keok?la;Kipunkaelae;LCD125;3;6530985;369370
Kestla;Kectaelae;LCD126;6;6586279;494059
Kihlevere;Kyllaeuaerae;LCD127;5;6582848;450393
Kihmla;Kiumbala;LCD128;5;6581691;401231
Kiia;Kienkylae;LCD129;12;6583308;358010
Kiikla;Kikalae;LCD130;5;6571719;513552
Kiiu;Kithae;LCD131;30;6591176;408509
Kiku;Kicko;LCD132;8;6572670;448493
Kirimäe;Kiriollae maec;LCD134;6;6559442;392749
Kirivalla;Kiriawold;LCD135;15;6555934;391965
Kisuvere;Kiskeuerae;LCD136;8;6586950;459614
Kiviloo;Kiulo;LCD137;16;6573542;401502
Kloodi;Paeitis;LCD138;30;6583205;459158
Kodila;Kotial;LCD139;4;6547012;366485
Kodja;Koti;LCD140;11;6555350;363836
Koduvere;Kottewaerae;LCD141;6;6595493;451593
Koeravere;Corauerae;LCD142;8;6568166;463747
Kohala;Kwalae;LCD143;26;6584602;471938
Tolks;Tolkas;LCD144;20;6586605;473397
Kohatu;Kuaet;LCD145;10;6560792;358346
Kohila;Koil, Koylae;LCD146;24;6561789;371500
Kohtla;Odris;LCD147;18;6579779;511284
Koigi;Koic;LCD148;10;6550297;371779
Koila;Kogelae;LCD149;12;6532409;464591
Koila;Kokael;LCD150;40;6592041;484755
Koila;Kogael;LCD151;10;6591614;396509
Koogu;Paymol;LCD153;12;6588781;488743
Kose;Cosius;LCD154;9;6562398;395344
Kostivere;Kostaeuerae;LCD155;6;6589294;392088
Kuimetsa;Quiuames;LCD156;10;6546858;392037
Kukruse;Kuckarus;LCD157;7;6583357;520581
Kulenga;Kuldenkava;LCD158;2;6564008;458377
Kullamägi;Kullawa;LCD159;8;6595163;422036
Kulna;Guldan;LCD160;20;6576109;348735
Kumma;Compayas;LCD161;10;6536513;375348
Engla;Engael;LCD162;10;6580200;354298
Kunda;Gundas;LCD163;15;6594216;473444
Kupna;Cupanal;LCD164;18;6568065;470312
Kurena;Kurkenoy;LCD165;4;6561543;391330
Kurevere;Kurkeuerae;LCD166;2;6570052;376505
Kurna;Queronoiae;LCD167;10;6579897;377288
Kurtna;Kirtanaos;LCD168;7;6570621;529295
Kustja;Kustizae;LCD169;17;6555211;354744
Kutsala;Kuscaelae;LCD170;12;6594181;478377
Kuusalu;Kusala;LCD171;25;6590844;411399
Kõldu;Hiltae;LCD172;24;6591212;451187
Kõljala;Kolgael;LCD173;3;6583338;496487
Kõlu;K?hoy;LCD174;15;6582746;406088
Kõmmaste;Kyminaestkylae;LCD175;3;6568295;331309
Kõrgu;Karku;LCD176;9;6543378;368694
Kõrma;Korpywomais;LCD177;4;6575345;481205
Kõrveküla;Corpius;LCD178;20;6581449;441958
Kõue;K?y;LCD179;19;6551113;399183
Käbiküla;Kiaeppaekulae;LCD180;5;6532584;375309
Käbiküla;Kiaeppaekylae;LCD181;23;6552576;355477
Kämlu;Remmeuo;LCD182;5;6562962;385765
Kärmu;Kermae;LCD183;6;6589495;449700
Kärpla;Kiarpalae;LCD184;8;6529147;376011
Kärsa;Kaersaelae;LCD185;2;6546945;459330
Kärsa;Kaersae;LCD186;2;6588904;387307
Laanemõisa;Jagenael;LCD187;20;6580079;457259
Laeste;Soka;LCD188;3;6528992;375164
Lagedi;Lakethae;LCD189;23;6586746;383532
Laitse;Laidus;LCD190;14;6565402;351904
Lalli;Waeraeng;LCD191;1;6528515;385521
Lambasaba;Mauris;LCD192;6;6584980;472979
Lante;Lanthi;LCD193;7;6580831;452458
Laoküla;Laiduscae;LCD194;18;6580032;336587
Lasinurme;Lestaenormae;LCD195;17;6534269;460741
Lehetu;Leuetae;LCD196;4;6549696;343052
Lehmja;Lemethel;LCD197;15;6581916;379715
Lehmja;Lemethos;LCD198;20;6581364;360436
Lehola;Lehol;LCD199;7;6575797;347675
Lehtse;Lateis;LCD200;4;6574953;377726
Lellepere;Laelleuer;LCD201;5;6530434;373979
Lendermaa;Lendaelemet;LCD202;4;6565612;400114
Lepna;Lippanal;LCD203;30;6576088;460933
Levala;Laeuel;LCD204;6;6570460;459286
Libadu;Lepat;LCD205;8;6540653;374183
Lihu;Leiusi;LCD206;2;6536658;388403
Liiguste;Ligaelae;LCD207;12;6590860;449065
Liikva;Liqua;LCD208;7;6590786;353555
Limmu;Limbus;LCD209;4;6580861;385080
Linnaaluste;Litnanas;LCD210;14;6535716;381967
Lipa;Liuas;LCD211;7;6531990;368213
Lohu;Loal;LCD212;27;6557217;373253
Loobu;Lopae;LCD213;8;6591153;440477
Lõiuse;Leus;LCD214;13;6555698;378806
Lüganuse;Lygenus;LCD215;45;6582485;502338
Lümandu;Laemaeth;LCD216;10;6561491;361886
Maa-Kallavere;Kallaeuaer?;LCD217;15;6593073;389223
Maardu;Martaekilae;LCD218;12;6589762;387652
Madila;Mathielae;LCD219;5;6554211;345394
Saluse;Sochentakaes;LCD220;3;6567823;362199
Maeru;Mairusa;LCD221;4;6572587;344662
Maheda;Maidalae;LCD222;18;6589180;458771
Mahtra;Mataros;LCD223;3;6551051;386299
Mahtraküla;Oal;LCD224;5;6553443;386152
Maidla;Maydalae;LCD225;10;6577812;500731
Maidla;Mahethae;LCD226;9;6547955;379403
Maljavere;Maleiafer;LCD227;7;6571461;394134
Malla;Mallula;LCD228;5;6596086;476827
Mehidi;Methias;LCD229;4;6571009;499709
Mäe;Mekius;LCD230;3;6557114;376735
Melanculae;Melanculae;LCD231;4;6568318;335350
Miila;Milola;LCD233;16;6576729;482025
Moldova;Muldillippae;LCD234;4;6587675;505307
Mustla;Mustaen;LCD235;5;6547732;410338
Mustu;Mustuth;LCD236;3;6554165;350294
Mõdriku;Modrigas;LCD237;30;6574255;468853
Mõigu;M?ikae;LCD238;5;6584828;375102
Mõisaaseme;Coriakiuae;LCD239;6;6565258;407000
Mõisaküla;Moises;LCD240;16;6578050;378491
Mõnnuste;Mandaes;LCD241;4;6557954;352651
Mädapea;Metapae;LCD242;5;6575929;457393
Mäetaguse;Meintacus;LCD243;11;6566070;515955
Mäoküla;Mekius;LCD244;20;6577440;448134
Määra;Maegaer;LCD245;4;6567331;334163
Nabala;Napalae;LCD246;14;6572655;378950
Nadalama;Natamol;LCD247;5;6531474;378409
Nagala;Nakalae;LCD248;7;6578536;448220
Nahkjala;Nakael;LCD249;18;6573034;347511
Narva;Narvia;LCD250;8;6582049;568694
Neeruti;Coskius;LCD251;5;6575166;452057
Nehatu;Nigattae;LCD252;7;6591183;382096
Nissi;Nissae;LCD253;2;6554920;345966
Nugeri;Nucrae;LCD254;3;6590443;480454
Nurme;Normius;LCD255;3;6551668;347318
Obja;Obias;LCD256;20;6560723;478539
Oblu;Wopal;LCD257;5;6547531;391038
Oela;Oiel;LCD258;8;6548324;367507
Ohakvere;Othaccauerae;LCD259;6;6565919;525940
Ohekatku;Othengat;LCD260;1;6531817;381424
Ohekotsu;Othencotaes;LCD261;14;6543542;360556
Ohepalu;Othaenpan;LCD262;50;6579582;440905
Ohtu;Heukael;LCD263;20;6573062;350240
Ojaküla;Oeas;LCD264;14;6594029;471053
Kõnnaste;Kondos;LCD265;40;6582312;449062
Ontika;Undaegas;LCD266;5;6589014;516930
Oore;Wori;LCD267;2;6528717;381099
Oraniku;_rauangaes;LCD268;4;6539534;391753
Oru;Orkae;LCD269;5;6563051;385091
Oru;Orgiol cum Pyol;LCD270;15;6557419;363272
Paasküla;Rai;LCD271;12;6593298;468389
Paasvere;Paysseuerae;LCD272;23;6548081;480230
Paate;Pategas;LCD273;4;6585110;519519
Paatna;Patenal;LCD274;18;6581350;459762
Pada;Padagas;LCD275;40;6588226;484074
Padiküla;Pattas;LCD276;6;6575978;376931
Paekna;Pakikanal;LCD277;5;6572589;376531
Paeküla;Pathes;LCD278;14;6567230;329409
Paela;Pasae;LCD279;12;6542747;379725
Pagari;Paccari;LCD280;5;6569216;521818
Pajaka;Paihak;LCD281;6;6551270;352252
Pajupea;Paiumpe;LCD282;9;6582337;384507
Pala;Palas;LCD283;1;6549026;402352
Palamulla;Palamala;LCD284;5;6544454;365260
Paluküla;Palikyl;LCD285;5;6531643;386805
Palvere;Paltauere;LCD286;6;6564636;400677
Parasmäe;Parenbychi;LCD287;17;6587792;393605
Parila;Pariol;LCD288;3;6580073;400541
Pasies;Pasies;LCD289;6;6594824;389900
Patika;Patrickae;LCD290;5;6576934;382740
Paunküla;Pankyl;LCD291;5;6557334;404233
Paydola;Paydola;LCD292;23;6595585;472340
Peeri;Pyari;LCD293;4;6582259;517345
Pehka;Paegkaelae;LCD294;31;6595081;463042
Perila;Periel;LCD295;10;6575044;395958
Pikavere;Pikaeuaekae;LCD296;8;6572688;393823
Pikva;Pickuta;LCD297;9;6572810;407396
Pirsu;Pirso;LCD298;13;6582168;405806
Pous;Pous;LCD299;10;6569059;337132
Proosa;Koskil;LCD300;4;6590522;382787
