modern_nam;LCD_name;ID;unci;x;y;province;kylaegund;parocchia
Oraniku;_rauangaes;LCD268;4;564172;6538416;Haeriae;;Juriz
Atla;Accola/Attola;LCD30;10;557582;6546573;Haeriae;;Haccriz
Andja;Adnaeias;LCD17;6;639563;6593572;Uironia;Maum;Maum
Aeli;Aeilaes;LCD7;1;573810;6542661;Haeriae;;Juriz
Aigitse;Aekizae;LCD10;7;533504;6547541;Haeriae;;Haccriz
Hageda;Akedolae;LCD461;11;652524;6592892;Uironia;Maum;Maum
Atsalama;Akimal;LCD31;9;691588;6571575;Uironia;Alentagh;
Aila;Akiolae;LCD11;5;527784;6572518;;Uomentakae;Keykel
Alu;Alafae;LCD14;12;543888;6542996;Haeriae;;Haccriz
Alavere;Alauerae;LCD13;12;575852;6568488;Haeriae;;Kolkis
Aluvere;Alouerae;LCD15;14;637390;6584855;Uironia;Repel [Vir];Halelae
Annikvere;Andikewaerae;LCD20;26;623775;6596193;Uironia;Repel [Vir];Halelae
Angerja;Angaer;LCD18;25;549012;6560122;Haeriae;;Haccriz
Aburi;Apur;LCD6;6;629120;6562508;Uironia;Repel [Vir];Toruestaeuaerae
Aarla;Ardala;LCD2;8;649199;6584211;Uironia;Maum;Maum
Aruküla;Arhukylae;LCD26;5;519572;6561750;;Uomentakae;Keykel
Aresi;Arissilae;LCD23;12;639766;6590183;Uironia;Maum;Maum
Arkna;Arkenallae;LCD25;27;634718;6586339;Uironia;Repel [Vir];Halelae
Argoma;Artinas;LCD24;10;621216;6580135;Uironia;Repel [Vir];Toruestaeuaerae
Assamalla;Asaemulae;LCD28;18;629144;6567831;Uironia;Laemund;Vov
Ääsmäe;Asimekae;LCD479;20;530271;6566668;;Uomentakae;Keykel
Assaku;Assuncauae;LCD27;4;548010;6582951;;Ocrielae;Waskael
Alantsi;Atanascae;LCD12;17;565338;6554787;Haeriae;;Juriz
Ahila;Athelic;LCD8;10;617555;6584707;Uironia;Repel [Vir];Toruestaeuaerae
Hatuküla;Attol;LCD32;8;496308;6562445;;Uomentakae;Keykel
Avanduse;Auendoys;LCD34;10;637290;6547544;Uironia;Lemmun;Katcaekylae
Avispea;Auespae;LCD35;8;635527;6555295;Uironia;Lemmun;Katcaekylae
Veski;Aunapo;LCD452;5;564919;6573043;;Repel;Jeeleth
Aidu;Aytis;LCD9;19;673520;6580494;Uironia;Askaelae;
Kalbu;Calablia;LCD97;5;550712;6528293;Haeriae;;Haccriz
Kalumatsu;Callumanae;LCD102;5;496261;6565964;;Uomentakae;Keykel
Kabala;Capal;LCD85;30;537467;6532543;Haeriae;;Haccriz
Kavastu;Capis;LCD120;27;621546;6594696;Uironia;Repel [Vir];Halelae
Kabala;Cappala;LCD84;23;652220;6582677;Uironia;Maum;Maum
Karjaküla;Carias;LCD108;5;522070;6577855;;Uomentakae;Keykel
Karula;Carola;LCD483;;626393;6602156;Uironia;Repel [Vir];Halelae
Karnaküla;Carvanal;LCD111;6;528055;6580324;;Uomentakae;Keykel
Kaasiku;Casacu;LCD83;10;548943;6555057;Haeriae;;Juriz
Sirgala;Cirpae;LCD371;1;714854;6582430;Uironia;Alentagh;
